Administrative divisions,Total population (Person),Male (Person),Female (Person),Korean - total (Person),Korean - male (Person),Korean - Female (Person),Foreigner-Total (Person),Foreigner-Male (Person),Foreigner-Female (Person),Household-Total (households),Type of occupancy (households),Institutional households (households),Foreigner household (households),Housing units-Total (Housing),Detached dwelling (Housing),Apartment (Housing),Row house (Housing),Apartment unit ina private house (Housing),House within commercial building (Housing),Living quaters other than housing unit (Housing)
Seoul,9417469,4547051,4870418,9056522,4381802,4674720,360947,165249,195698,4252134,4098818,2423,150893,3111323,293489,1851242,110418,828773,27401,287651
Busan,3295760,1608947,1686813,3239787,1578621,1661166,55973,30326,25647,1464557,1447825,762,15970,1308294,188725,898404,30256,177774,13135,100004
Daegu,2366852,1165698,1201154,2328003,1145462,1182541,38849,20236,18613,1024104,1010834,610,12660,834637,137208,627191,8915,51403,9920,26044
Incheon,2989125,1499105,1490020,2878924,1438975,1439949,110201,60130,50071,1249056,1212731,901,35424,1087837,93320,717820,29807,238189,8701,110433
Gwangju,1468972,728859,740113,1436109,711350,724759,32863,17509,15354,634113,623252,356,10505,555185,78236,451265,11112,8836,5736,20151
Daejeon,1473662,737127,736535,1447379,725095,722284,26283,12032,14251,656236,646474,527,9235,510178,76321,383514,10576,34701,5066,13894
Ulsan,1110516,573080,537436,1084164,557386,526778,26352,15694,10658,462748,453998,264,8486,400155,64875,295539,8536,24519,6686,14755
Sejong,382589,192165,190424,375392,187982,187410,7197,4183,3014,156289,154019,97,2173,150278,16091,130572,1270,1633,712,3712
Gyeonggi,13717827,6938563,6779264,13116902,6591993,6524909,600925,346570,254355,5617507,5406963,4328,206216,4725372,505266,3358597,133617,693431,34461,348683
Gangwon,1528037,770518,757519,1500404,755752,744652,27633,14766,12867,693576,684895,671,8010,665631,239749,379372,21816,13000,11694,18849
North Chungcheong,1624993,830923,794070,1563376,793399,769977,61617,37524,24093,724108,704864,772,18472,659293,211378,400844,16052,20996,10023,21091
South Chungcheong,2193214,1128115,1065099,2084595,1064010,1020585,108619,64105,44514,966019,931370,1134,33515,894935,307013,510531,23929,42135,11327,39521
North Jeolla,1774248,885708,888540,1729520,861385,868135,44728,24323,20405,791720,777680,754,13286,755382,279159,432466,17774,15122,10861,20840
South Jeolla,1771431,896174,875257,1721873,864610,857263,49558,31564,17994,797720,784645,991,12084,824065,400085,381917,17670,11303,13090,29719
North Gyeongsang,2620373,1327631,1292742,2542225,1280814,1261411,78148,46817,31331,1189287,1166306,1217,21764,1108186,455997,555358,30833,47167,18831,36867
South Gyeongsang,3280829,1664969,1615860,3184526,1602556,1581970,96303,62413,33890,1420266,1392608,1158,26500,1311971,416190,814296,26485,37464,17536,49949
Jeju,676375,340665,335710,650225,325322,324903,26150,15343,10807,283747,276225,247,7275,252863,97895,80045,31919,36792,6212,20148
