Canton ,Total,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner
Lake Geneva region,1701827,358186,1046653,296988,835051,866776,1130600,571227
Vaud,830431,180828,510764,138839,408209,422222,554772,275659
Valais,357282,68941,215062,73279,177835,179447,272671,84611
Genève,514114,108417,320827,84870,249007,265107,303157,210957
Espace Mittelland,1918746,379054,1144199,395493,948765,969981,1536189,382557
Bern,1051437,200509,620777,230151,516805,534632,872661,178776
Fribourg,334465,73118,205729,55618,167569,166896,255175,79290
Solothurn,282408,54189,169758,58461,141168,141240,214403,68005
Neuchâtel,176571,36157,105474,34940,86657,89914,131328,45243
Jura,73865,15081,42461,16323,36566,37299,62622,11243
Northwest Switzerland,1202435,236134,727022,239279,598131,604304,872250,330185
Basel-Stadt,196786,34516,123376,38894,95937,100849,123465,73321
Basel-Landschaft,294417,56709,170422,67286,144441,149976,223876,70541
Aargau,711232,144909,433224,133099,357753,353479,524909,186323
Zürich,1579967,312392,994624,272951,788846,791121,1141651,438316
Eastern Switzerland,1217015,240361,732845,243809,612142,604873,922217,294798
Glarus,41471,7968,24758,8745,20975,20496,30918,10553
Schaffhausen,85214,16063,50430,18721,42318,42896,62066,23148
Appenzell A. Rh.,55759,11365,32747,11647,28114,27645,46395,9364
Appenzell I. Rh.,16416,3392,9674,3350,8408,8008,14510,1906
St. Gallen,525967,107360,318282,100325,264521,261446,392009,133958
Graubünden,202538,35349,121064,46125,101760,100778,162686,39852
Thurgau,289650,58864,175890,54896,146046,143604,213633,76017
Central Switzerland,841372,166893,514866,159613,424681,416691,661858,179514
Luzern,424851,85932,260162,78757,212021,212830,340582,84269
Uri,37317,7362,21811,8144,19007,18310,32224,5093
Schwyz,164920,31575,101903,31442,84722,80198,127120,37800
Obwalden,38700,7638,23137,7925,19574,19126,32652,6048
Nidwalden,44420,7906,26689,9825,22783,21637,37150,7270
Zug,131164,26480,81164,23520,66574,64590,92130,39034
Ticino,354023,62193,208340,83490,172337,181686,254597,99426
