Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2019","2019","An","13000000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2020","2020","An","12817638","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2021","2021","An","12700000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2022","2022","An","12500000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2019","2019","An","1758333","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2020","2020","An","1557861","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2021","2021","An","1480450","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2022","2022","An","1371695","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2019","2019","An","29378561","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2020","2020","An","30905560","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2021","2021","An","31126445","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2022","2022","An","31192020","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2019","2019","An","1134825","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2020","2020","An","1152109","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2021","2021","An","1168114","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2022","2022","An","1193529","E","Estimated value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2019","2019","An","11343","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2020","2020","An","10048","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2021","2021","An","9121","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2022","2022","An","8300","I","Imputed value",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2019","2019","An","14774196","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2020","2020","An","14571766","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2021","2021","An","13347911","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2022","2022","An","12461845","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02122","Sheep","2019","2019","An","615705","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02122","Sheep","2020","2020","An","639598","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02122","Sheep","2021","2021","An","693439","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02122","Sheep","2022","2022","An","691787","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02122","Sheep","2019","2019","An","65755408","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02122","Sheep","2020","2020","An","63529366","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02122","Sheep","2021","2021","An","68047402","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02122","Sheep","2022","2022","An","70234655","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02122","Sheep","2019","2019","An","402660","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02122","Sheep","2020","2020","An","393760","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02122","Sheep","2021","2021","An","402350","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02122","Sheep","2022","2022","An","400660","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02122","Sheep","2019","2019","An","7575381","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02122","Sheep","2020","2020","An","7483725","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02122","Sheep","2021","2021","An","7314166","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02122","Sheep","2022","2022","An","7170828","A","Official figure",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02122","Sheep","2019","2019","An","6580","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02122","Sheep","2020","2020","An","6591","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02122","Sheep","2021","2021","An","6598","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02122","Sheep","2022","2022","An","6605","I","Imputed value",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02122","Sheep","2019","2019","An","62657","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02122","Sheep","2020","2020","An","60000","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02122","Sheep","2021","2021","An","60000","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02122","Sheep","2022","2022","An","62300","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2019","2019","An","2036474","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2020","2020","An","2059743","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2021","2021","An","2083124","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2022","2022","An","2100000","E","Estimated value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02122","Sheep","2019","2019","An","13224","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02122","Sheep","2020","2020","An","13198","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02122","Sheep","2021","2021","An","13257","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02122","Sheep","2022","2022","An","13320","I","Imputed value",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02122","Sheep","2019","2019","An","87300","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02122","Sheep","2020","2020","An","87400","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02122","Sheep","2021","2021","An","82700","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02122","Sheep","2022","2022","An","78700","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02122","Sheep","2019","2019","An","117320","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02122","Sheep","2022","2022","An","110120","A","Official figure",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02122","Sheep","2019","2019","An","15340","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02122","Sheep","2020","2020","An","15411","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02122","Sheep","2021","2021","An","15660","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02122","Sheep","2022","2022","An","15909","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02122","Sheep","2019","2019","An","974000","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02122","Sheep","2020","2020","An","2361945","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02122","Sheep","2021","2021","An","2430290","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02122","Sheep","2022","2022","An","2500613","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02122","Sheep","2019","2019","An","11466","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02122","Sheep","2020","2020","An","10793","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02122","Sheep","2021","2021","An","10694","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02122","Sheep","2022","2022","An","10024","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02122","Sheep","2019","2019","An","7553836","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02122","Sheep","2020","2020","An","7612750","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02122","Sheep","2021","2021","An","7633504","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02122","Sheep","2022","2022","An","7592484","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02122","Sheep","2019","2019","An","1012648","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02122","Sheep","2020","2020","An","1014427","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02122","Sheep","2021","2021","An","1029966","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02122","Sheep","2022","2022","An","997046","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02122","Sheep","2019","2019","An","242911","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02122","Sheep","2020","2020","An","235743","I","Imputed value",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02122","Sheep","2021","2021","An","168060","I","Imputed value",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02122","Sheep","2022","2022","An","133502","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02122","Sheep","2019","2019","An","19971802","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02122","Sheep","2020","2020","An","20623064","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02122","Sheep","2021","2021","An","20544899","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02122","Sheep","2022","2022","An","21514274","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02122","Sheep","2019","2019","An","4217","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02122","Sheep","2020","2020","An","4296","E","Estimated value",""
